"Gene","Non-unique Gene name","Annotation","No. isolates","No. sequences","Avg sequences per isolate","Genome Fragment","Order within Fragment","Accessory Fragment","Accessory Order with Fragment","QC","Min group size nuc","Max group size nuc","Avg group size nuc","AR465","M48","NRS1","P10","R50","V521"
"group_203","","hypothetical protein","6","6","1","1","3306","","","","914","1397","1316","AR465_00018","M48_00910","NRS1_02500","P10_00776","R50_00764","V521_00950"
"group_2037","","hypothetical protein","6","6","1","1","1459","","","","233","233","233","AR465_01486","M48_02348","NRS1_02637","P10_02091","R50_02036","V521_02391"
"nucH","","Thermonuclease","6","6","1","1","2887","","","","533","533","533","AR465_02336","M48_01322","NRS1_02018","P10_01234","R50_01244","V521_01368"
"group_2039","","hypothetical protein","6","6","1","1","2513","","","","353","353","353","AR465_00822","M48_02984","NRS1_00500","P10_02689","R50_02631","V521_03018"
"group_2040","","Isatin hydrolase","6","6","1","1","189","","","","752","752","752","AR465_00473","M48_00394","NRS1_00851","P10_00279","R50_00273","V521_00432"
"map_2","","Methionine aminopeptidase","6","6","1","1","3404","","","","758","758","758","AR465_01681","M48_01986","NRS1_01427","P10_01900","R50_01899","V521_02036"
"group_2042","","hypothetical protein","6","6","1","1","3326","","","","128","128","128","AR465_02746","M48_01909","NRS1_02430","P10_00767","R50_00834","V521_01960"
"rodA","","Peptidoglycan glycosyltransferase RodA","6","6","1","1","1475","","","","1202","1202","1202","AR465_01502","M48_02332","NRS1_02621","P10_02075","R50_02020","V521_02375"
"group_2044","","hypothetical protein","6","6","1","1","3113","","","","191","191","191","AR465_02555","M48_01099","NRS1_02237","P10_00966","R50_01024","V521_01146"
"group_2045","","hypothetical protein","6","6","1","1","3516","","","","362","362","362","AR465_01612","M48_02055","NRS1_01359","P10_02817","R50_01437","V521_02105"
"mrpB","","Na(+)/H(+) antiporter subunit B","6","6","1","1","1973","","","","425","425","425","AR465_00216","M48_00686","NRS1_01129","P10_00538","R50_00544","V521_00726"
"ywqG","","putative protein YwqG","6","6","1","1","535","","","","878","878","878","AR465_00030","M48_00875","NRS1_02512","P10_00749","R50_00752","V521_00913"
"udk","","Uridine kinase","6","6","1","1","3800","","","","623","623","623","AR465_01989","M48_01603","NRS1_01737","P10_01584","R50_01606","V521_01653"
"xseA","","Exodeoxyribonuclease 7 large subunit","6","6","1","1","3888","","","","1337","1337","1337","AR465_02074","M48_01517","NRS1_01822","P10_01499","R50_01522","V521_01566"
"azo1","","FMN-dependent NADPH-azoreductase","6","6","1","1","1910","","","","566","566","566","AR465_00277","M48_00615","NRS1_01068","P10_00468","R50_00477","V521_00653"
"group_2054","","hypothetical protein","6","6","1","1","932","","","","599","599","599","AR465_01078","M48_02702","NRS1_00242","P10_02430","R50_02373","V521_02743"
"dltC","","D-alanyl carrier protein","6","6","1","1","3289","","","","236","236","236","AR465_02727","M48_00926","NRS1_02409","P10_00792","R50_00852","V521_00970"
"group_2056","","queuosine precursor transporter","6","6","1","1","2777","","","","704","704","704","AR465_02232","M48_01427","NRS1_01914","P10_01340","R50_01364","V521_01475"
"group_2057","","hypothetical protein","6","6","1","1","2160","","","","422","422","422","AR465_01054","M48_02726","NRS1_00266","P10_02454","R50_02399","V521_02767"
"rpsI","","30S ribosomal protein S9","6","6","1","1","1165","","","","398","398","398","AR465_01305","M48_02473","NRS1_00014","P10_02200","R50_02145","V521_02512"
"ymdB","","2',3'-cyclic-nucleotide 2'-phosphodiesterase","6","6","1","1","2932","","","","797","797","797","AR465_02374","M48_01277","NRS1_02057","P10_01209","R50_01202","V521_01327"
"focA","","putative formate transporter 1","6","6","1","1","486","","","","824","824","824","AR465_00522","M48_00276","NRS1_00801","P10_00229","R50_00224","V521_00318"
"glcU_2","","putative glucose uptake protein GlcU","6","6","1","1","1126","","","","863","863","863","AR465_01266","M48_02511","NRS1_00053","P10_02239","R50_02184","V521_02551"
"group_2062","","hypothetical protein","6","6","1","1","3796","","","","308","308","308","AR465_01985","M48_01607","NRS1_01733","P10_01588","R50_01610","V521_01657"
"group_2063","","hypothetical protein","6","6","1","1","3838","","","","707","707","707","AR465_02025","M48_01566","NRS1_01773","P10_01549","R50_01571","V521_01615"
"rplY","","50S ribosomal protein L25","6","6","1","1","1851","","","","653","653","653","AR465_00352","M48_00543","NRS1_00996","P10_00399","R50_00408","V521_00581"
"whiA","","putative cell division protein WhiA","6","6","1","1","2290","","","","944","944","944","AR465_00074","M48_00828","NRS1_01272","P10_00695","R50_00686","V521_00867"
"fba","","Fructose-bisphosphate aldolase","6","6","1","1","1435","","","","860","860","860","AR465_01462","M48_02372","NRS1_02661","P10_02115","R50_02060","V521_02415"
"ureE","","Urease accessory protein UreE","6","6","1","1","1094","","","","452","452","452","AR465_01233","M48_02544","NRS1_00086","P10_02272","R50_02217","V521_02584"
"ispE","","4-diphosphocytidyl-2-C-methyl-D-erythritol kinase","6","6","1","1","1845","","","","848","848","848","AR465_00358","M48_00537","NRS1_00990","P10_00393","R50_00402","V521_00575"
"rpsF","","30S ribosomal protein S6","6","6","1","1","179","","","","296","296","296","AR465_00463","M48_00404","NRS1_00861","P10_00289","R50_00283","V521_00442"
"group_2070","","hypothetical protein","6","6","1","1","518","","","","218","218","218","AR465_00047","M48_00858","NRS1_02529","P10_00732","R50_00735","V521_00896"
"oppB","","Oligopeptide transport system permease protein OppB","6","6","1","1","3236","","","","926","926","926","AR465_02676","M48_00977","NRS1_02358","P10_00843","R50_00904","V521_01022"
"yfnB","","Putative HAD-hydrolase YfnB","6","6","1","1","3048","","","","686","686","686","AR465_02488","M48_01163","NRS1_02170","P10_01096","R50_01089","V521_01212"
"group_2073","","hypothetical protein","6","6","1","1","1046","","","","326","326","326","AR465_01185","M48_02592","NRS1_00134","P10_02320","R50_02265","V521_02632"
"hchA","","Protein/nucleic acid deglycase HchA","6","6","1","1","1901","","","","878","878","878","AR465_00286","M48_00606","NRS1_01059","P10_00459","R50_00468","V521_00644"
"gluD","","NAD-specific glutamate dehydrogenase","6","6","1","1","3265","","","","1244","1244","1244","AR465_02703","M48_00950","NRS1_02385","P10_00816","R50_00876","V521_00994"
"rpsG","","30S ribosomal protein S7","6","6","1","1","1896","","","","470","470","470","AR465_00291","M48_00601","NRS1_01054","P10_00454","R50_00463","V521_00639"
"nusB","","Transcription antitermination protein NusB","6","6","1","1","3887","","","","389","389","389","AR465_02073","M48_01518","NRS1_01821","P10_01500","R50_01523","V521_01567"
"yclO","","Petrobactin import system permease protein YclO","6","6","1","1","2324","","","","956","956","956","AR465_00107","M48_00794","NRS1_01238","P10_00662","R50_00653","V521_00834"
"rplA","","50S ribosomal protein L1","6","6","1","1","1888","","","","692","692","692","AR465_00299","M48_00593","NRS1_01046","P10_00446","R50_00455","V521_00631"
"glnR","","HTH-type transcriptional regulator GlnR","6","6","1","1","2913","","","","368","368","368","AR465_02355","M48_01296","NRS1_02038","P10_01228","R50_01221","V521_01347"
"pfkA","","ATP-dependent 6-phosphofructokinase","6","6","1","1","3719","","","","968","968","968","AR465_01907","M48_01688","NRS1_01655","P10_01660","R50_01682","V521_01738"
"tatAy","","Sec-independent protein translocase protein TatAy","6","6","1","1","198","","","","215","215","215","AR465_00481","M48_00386","NRS1_00843","P10_00271","R50_00265","V521_00424"
"acpP","","Acyl carrier protein","6","6","1","1","2990","","","","233","233","233","AR465_02431","M48_01221","NRS1_02113","P10_01153","R50_01146","V521_01270"
"ykoE","","Putative HMP/thiamine permease protein YkoE","6","6","1","1","3145","","","","575","575","575","AR465_02586","M48_01069","NRS1_02268","P10_00935","R50_00993","V521_01115"
"ftsW","","putative peptidoglycan glycosyltransferase FtsW","6","6","1","1","3109","","","","1226","1226","1226","AR465_02551","M48_01103","NRS1_02233","P10_00970","R50_01028","V521_01150"
"group_2086","","hypothetical protein","6","6","1","1","170","","","","263","263","263","AR465_00456","M48_00412","NRS1_00868","P10_00297","R50_00293","V521_00451"
"group_2087","","hypothetical protein","6","6","1","1","375","","","","494","494","494","AR465_00604","M48_00187","NRS1_00718","P10_00139","R50_00141","V521_00227"
"ytpP","","Thioredoxin-like protein YtpP","6","6","1","1","3675","","","","311","311","311","AR465_01862","M48_01732","NRS1_01609","P10_01704","R50_01729","V521_01783"
"group_2089","","hypothetical protein","6","6","1","1","1123","","","","317","317","317","AR465_01263","M48_02514","NRS1_00056","P10_02242","R50_02187","V521_02554"
"est_2","","Carboxylesterase","6","6","1","1","3478","","","","740","740","740","AR465_00061","M48_00841","NRS1_01285","P10_00708","R50_00699","V521_00880"
"fepC","","Ferric enterobactin transport ATP-binding protein FepC","6","6","1","1","1996","","","","797","797","797","AR465_00193","M48_00708","NRS1_01152","P10_00560","R50_00566","V521_00748"
"rpsM","","30S ribosomal protein S13","6","6","1","1","1156","","","","365","365","365","AR465_01296","M48_02482","NRS1_00023","P10_02209","R50_02154","V521_02521"
"patA","","Peptidoglycan O-acetyltransferase","6","6","1","1","3290","","","","1214","1214","1214","AR465_02728","M48_00925","NRS1_02410","P10_00791","R50_00851","V521_00969"
"esaB","","Type VII secretion system accessory factor EsaB","6","6","1","1","450","","","","242","242","242","AR465_00541","M48_00253","NRS1_00782","P10_00205","R50_00206","V521_00294"
"ptsH","","Phosphocarrier protein HPr","6","6","1","1","3138","","","","266","266","266","AR465_02580","M48_01074","NRS1_02262","P10_00941","R50_00999","V521_01121"
"dnaI","","Primosomal protein DnaI","6","6","1","1","3734","","","","920","920","920","AR465_01921","M48_01672","NRS1_01669","P10_01646","R50_01668","V521_01722"
"group_2096","","hypothetical protein","6","6","1","1","3124","","","","275","275","275","AR465_02566","M48_01088","NRS1_02248","P10_00955","R50_01013","V521_01135"
"pdhB","","Pyruvate dehydrogenase E1 component subunit beta","6","6","1","1","3127","","","","977","977","977","AR465_02569","M48_01085","NRS1_02251","P10_00952","R50_01010","V521_01132"
"rihB","","Pyrimidine-specific ribonucleoside hydrolase RihB","6","6","1","1","1101","","","","941","941","941","AR465_01240","M48_02537","NRS1_00079","P10_02265","R50_02210","V521_02577"
"ktrA","","Ktr system potassium uptake protein A","6","6","1","1","3133","","","","662","662","662","AR465_02575","M48_01079","NRS1_02257","P10_00946","R50_01004","V521_01126"
"group_210","","hypothetical protein","6","6","1","1","2310","","","","455","641","610","AR465_00093","M48_00808","NRS1_01252","P10_00676","R50_00667","V521_00848"
"yccX","","Acylphosphatase","6","6","1","1","2808","","","","269","269","269","AR465_02258","M48_01398","NRS1_01941","P10_01310","R50_01337","V521_01446"
"ydcV","","Inner membrane ABC transporter permease protein YdcV","6","6","1","1","3120","","","","809","809","809","AR465_02562","M48_01092","NRS1_02244","P10_00959","R50_01017","V521_01139"
"frdB","","Fumarate reductase iron-sulfur subunit","6","6","1","1","3074","","","","815","815","815","AR465_02516","M48_01138","NRS1_02198","P10_01070","R50_01063","V521_01185"
"comGC","","ComG operon protein 3","6","6","1","1","3870","","","","311","311","311","AR465_02056","M48_01535","NRS1_01804","P10_01517","R50_01540","V521_01584"
"sarU","","HTH-type transcriptional regulator SarU","6","6","1","1","2195","","","","743","743","743","AR465_01030","M48_02746","NRS1_00291","P10_02478","R50_02423","V521_02785"
"group_2105","","hypothetical protein","6","6","1","1","1071","","","","329","329","329","AR465_01210","M48_02567","NRS1_00109","P10_02295","R50_02240","V521_02607"
"mrpC","","Na(+)/H(+) antiporter subunit C","6","6","1","1","1974","","","","344","344","344","AR465_00215","M48_00687","NRS1_01130","P10_00539","R50_00545","V521_00727"
"rpmG2_2","","50S ribosomal protein L33 2","6","6","1","1","3862","","","","149","149","149","AR465_02048","M48_01543","NRS1_01796","P10_01525","R50_01548","V521_01592"
"nirQ","","Denitrification regulatory protein NirQ","6","6","1","1","2800","","","","791","791","791","AR465_02253","M48_01404","NRS1_01936","P10_01317","R50_01342","V521_01452"
"luxS","","S-ribosylhomocysteine lyase","6","6","1","1","1425","","","","470","470","470","AR465_01453","M48_02381","NRS1_02670","P10_02124","R50_02070","V521_02424"
"recF","","DNA replication and repair protein RecF","6","6","1","1","2524","","","","1112","1112","1112","AR465_00812","M48_00004","NRS1_00510","P10_02699","R50_02641","V521_00004"
"group_2111","","hypothetical protein","6","6","1","1","2335","","","","1514","1514","1514","AR465_00118","M48_00783","NRS1_01227","P10_00651","R50_00642","V521_00823"
"sarR","","HTH-type transcriptional regulator SarR","6","6","1","1","1090","","","","347","347","347","AR465_01229","M48_02548","NRS1_00090","P10_02276","R50_02221","V521_02588"
"femB","","Aminoacyltransferase FemB","6","6","1","1","2837","","","","1259","1259","1259","AR465_02286","M48_01371","NRS1_01969","P10_01283","R50_01293","V521_01418"
"group_2114","","hypothetical protein","6","6","1","1","2807","","","","623","623","623","AR465_02257","M48_01399","NRS1_01940","P10_01311","R50_01338","V521_01447"
"cspA_1","","Cold shock protein CspA","6","6","1","1","517","","","","200","200","200","AR465_00048","M48_00857","NRS1_02530","P10_00731","R50_00734","V521_00895"
"group_2116","","hypothetical protein","6","6","1","1","3740","","","","608","608","608","AR465_01927","M48_01666","NRS1_01675","P10_01640","R50_01662","V521_01716"
"group_2117","","putative N-acetyltransferase","6","6","1","1","3047","","","","440","440","440","AR465_02487","M48_01164","NRS1_02169","P10_01097","R50_01090","V521_01213"
"sepF","","Cell division protein SepF","6","6","1","1","3034","","","","563","563","563","AR465_02474","M48_01177","NRS1_02156","P10_01110","R50_01103","V521_01226"
"group_2119","","hypothetical protein","6","6","1","1","2002","","","","497","497","497","AR465_00187","M48_00714","NRS1_01158","P10_00566","R50_00572","V521_00754"
"pdxK","","Pyridoxine kinase","6","6","1","1","1931","","","","650","830","800","AR465_00258","M48_00634","NRS1_01087","P10_00487","R50_00496","V521_00673"
"group_2124","","hypothetical protein","6","6","1","1","60","","","","116","116","116","AR465_02219","M48_01440","NRS1_01901","P10_01352","R50_01376","V521_01488"
"mraZ","","Transcriptional regulator MraZ","6","6","1","1","3045","","","","431","431","431","AR465_02485","M48_01166","NRS1_02167","P10_01099","R50_01092","V521_01215"
"group_2126","","hypothetical protein","6","6","1","1","2867","","","","287","287","287","AR465_02316","M48_01341","NRS1_01999","P10_01253","R50_01263","V521_01387"
"group_2127","","hypothetical protein","6","6","1","1","1462","","","","440","440","440","AR465_01489","M48_02345","NRS1_02634","P10_02088","R50_02033","V521_02388"
"group_2128","","Antibacterial protein 3","6","6","1","1","3050","","","","134","134","134","AR465_02490","M48_01161","NRS1_02172","P10_01094","R50_01087","V521_01210"
"infC","","Translation initiation factor IF-3","6","6","1","1","3737","","","","560","560","560","AR465_01924","M48_01669","NRS1_01672","P10_01643","R50_01665","V521_01719"
"tcyC_2","","L-cystine import ATP-binding protein TcyC","6","6","1","1","969","","","","731","731","731","AR465_01115","M48_02665","NRS1_00205","P10_02393","R50_02336","V521_02705"
"sarV","","HTH-type transcriptional regulator SarV","6","6","1","1","1116","","","","350","350","350","AR465_01256","M48_02521","NRS1_00063","P10_02249","R50_02194","V521_02561"
"nupG","","Purine nucleoside transport protein NupG","6","6","1","1","1994","","","","1229","1229","1229","AR465_00195","M48_00706","NRS1_01150","P10_00558","R50_00564","V521_00746"
"group_2133","","hypothetical protein","6","6","1","1","2312","","","","1070","1070","1070","AR465_00095","M48_00806","NRS1_01250","P10_00674","R50_00665","V521_00846"
"rpsS","","30S ribosomal protein S19","6","6","1","1","1136","","","","278","278","278","AR465_01276","M48_02502","NRS1_00043","P10_02229","R50_02174","V521_02541"
"prs","","Ribose-phosphate pyrophosphokinase","6","6","1","1","1850","","","","965","965","965","AR465_00353","M48_00542","NRS1_00995","P10_00398","R50_00407","V521_00580"
"opuD_3","","Glycine betaine transporter OpuD","6","6","1","1","2095","","","","1622","1622","1622","AR465_00914","M48_02886","NRS1_00407","P10_02595","R50_02537","V521_02921"
"group_2137","","hypothetical protein","6","6","1","1","2885","","","","584","584","584","AR465_02334","M48_01324","NRS1_02016","P10_01236","R50_01246","V521_01370"
"yefM","","Antitoxin YefM","6","6","1","1","974","","","","251","251","251","AR465_01119","M48_02661","NRS1_00201","P10_02389","R50_02332","V521_02700"
"group_2139","","hypothetical protein","6","6","1","1","3880","","","","218","218","218","AR465_02066","M48_01525","NRS1_01814","P10_01507","R50_01530","V521_01574"
"proP","","Proline/betaine transporter","6","6","1","1","1924","","","","1223","1400","1370","AR465_00264","M48_00628","NRS1_01081","P10_00481","R50_00490","V521_00667"
"group_2140","","putative transcriptional regulatory protein","6","6","1","1","2018","","","","716","716","716","AR465_00171","M48_00730","NRS1_01174","P10_00583","R50_00588","V521_00770"
"rbfA","","Ribosome-binding factor A","6","6","1","1","2950","","","","350","350","350","AR465_02392","M48_01259","NRS1_02075","P10_01191","R50_01184","V521_01309"
"group_2142","","hypothetical protein","6","6","1","1","3380","","","","602","602","602","AR465_01657","M48_02010","NRS1_01403","P10_01924","R50_01923","V521_02060"
"yclM","","Aspartokinase 3","6","6","1","1","2884","","","","1382","1382","1382","AR465_02333","M48_01325","NRS1_02015","P10_01237","R50_01247","V521_01371"
"group_2144","","hypothetical protein","6","6","1","1","1063","","","","530","530","530","AR465_01202","M48_02575","NRS1_00117","P10_02303","R50_02248","V521_02615"
"atpE","","ATP synthase subunit c","6","6","1","1","1452","","","","212","212","212","AR465_01479","M48_02355","NRS1_02644","P10_02098","R50_02043","V521_02398"
"lrgA","","Antiholin-like protein LrgA","6","6","1","1","422","","","","437","437","437","AR465_00563","M48_00229","NRS1_00760","P10_00180","R50_00182","V521_00270"
"apt","","Adenine phosphoribosyltransferase","6","6","1","1","3777","","","","518","518","518","AR465_01966","M48_01626","NRS1_01714","P10_01607","R50_01629","V521_01676"
"hpf","","Ribosome hibernation promotion factor","6","6","1","1","2305","","","","572","572","572","AR465_00089","M48_00813","NRS1_01256","P10_00680","R50_00671","V521_00852"
"lipA_1","","Lipoyl synthase","6","6","1","1","3299","","","","917","917","917","AR465_02737","M48_00917","NRS1_02419","P10_00783","R50_00843","V521_00961"
"group_2154","","hypothetical protein","6","6","1","1","3680","","","","491","491","491","AR465_01867","M48_01727","NRS1_01614","P10_01699","R50_01724","V521_01778"
"arlR","","Response regulator ArlR","6","6","1","1","2794","","","","659","659","659","AR465_02247","M48_01410","NRS1_01930","P10_01323","R50_01348","V521_01458"
"group_2156","","hypothetical protein","6","6","1","1","1072","","","","737","737","737","AR465_01211","M48_02566","NRS1_00108","P10_02294","R50_02239","V521_02606"
"coaD","","Phosphopantetheine adenylyltransferase","6","6","1","1","3098","","","","482","482","482","AR465_02540","M48_01114","NRS1_02222","P10_00981","R50_01039","V521_01161"
"ywaC","","GTP pyrophosphokinase YwaC","6","6","1","1","2203","","","","692","692","692","AR465_01021","M48_02754","NRS1_00301","P10_02485","R50_02432","V521_02793"
"yutF","","Acid sugar phosphatase","6","6","1","1","3294","","","","779","779","779","AR465_02732","M48_00921","NRS1_02414","P10_00787","R50_00847","V521_00965"
"hxlB","","3-hexulose-6-phosphate isomerase","6","6","1","1","1921","","","","332","548","512","AR465_00266","M48_00626","NRS1_01079","P10_00478","R50_00488","V521_00664"
"nupC_2","","Nucleoside permease NupC","6","6","1","1","1871","","","","1214","1214","1214","AR465_00316","M48_00576","NRS1_01029","P10_00429","R50_00438","V521_00614"
"group_2161","","hypothetical protein","6","6","1","1","1929","","","","167","167","167","AR465_00259","M48_00633","NRS1_01086","P10_00486","R50_00495","V521_00672"
"rot","","HTH-type transcriptional regulator rot","6","6","1","1","3657","","","","401","401","401","AR465_01844","M48_01750","NRS1_01589","P10_01722","R50_01747","V521_01801"
"nos","","Nitric oxide synthase oxygenase","6","6","1","1","3377","","","","1076","1076","1076","AR465_01654","M48_02013","NRS1_01400","P10_01927","R50_01926","V521_02063"
"tagG","","Teichoic acid translocation permease protein TagG","6","6","1","1","1988","","","","812","812","812","AR465_00201","M48_00700","NRS1_01144","P10_00552","R50_00558","V521_00740"
"group_2165","","Putative dipeptidase","6","6","1","1","3668","","","","1409","1409","1409","AR465_01855","M48_01739","NRS1_01602","P10_01711","R50_01736","V521_01790"
"group_2166","","hypothetical protein","6","6","1","1","2166","","","","281","281","281","AR465_01049","M48_02730","NRS1_00271","P10_02459","R50_02403","V521_02771"
"gatB_1","","PTS system galactitol-specific EIIB component","6","6","1","1","406","","","","278","278","278","AR465_00579","M48_00213","NRS1_00744","P10_00164","R50_00166","V521_00254"
"hlgA","","Gamma-hemolysin component A","6","6","1","1","961","","","","965","965","965","AR465_01107","M48_02673","NRS1_00213","P10_02401","R50_02344","V521_02713"
"rpmE2","","50S ribosomal protein L31 type B","6","6","1","1","1440","","","","254","254","254","AR465_01467","M48_02367","NRS1_02656","P10_02110","R50_02055","V521_02410"
"yfmJ","","Putative NADP-dependent oxidoreductase YfmJ","6","6","1","1","792","","","","1004","1004","1004","AR465_01396","M48_02447","NRS1_02727","P10_02174","R50_02124","V521_02486"
"dgkA","","Undecaprenol kinase","6","6","1","1","3843","","","","344","344","344","AR465_02030","M48_01561","NRS1_01778","P10_01544","R50_01566","V521_01610"
"atpG","","ATP synthase gamma chain","6","6","1","1","1456","","","","866","866","866","AR465_01483","M48_02351","NRS1_02640","P10_02094","R50_02039","V521_02394"
"adk","","Adenylate kinase","6","6","1","1","1153","","","","647","647","647","AR465_01293","M48_02485","NRS1_00026","P10_02212","R50_02157","V521_02524"
"group_2174","","Antibacterial protein 3","6","6","1","1","3049","","","","134","134","134","AR465_02489","M48_01162","NRS1_02171","P10_01095","R50_01088","V521_01211"
"group_2175","","hypothetical protein","6","6","1","1","3360","","","","524","524","524","AR465_01641","M48_02026","NRS1_01387","P10_01940","R50_01945","V521_02076"
"group_2176","","hypothetical protein","6","6","1","1","2914","","","","1238","1238","1238","AR465_02356","M48_01295","NRS1_02039","P10_01227","R50_01220","V521_01346"
"trpG_1","","Anthranilate synthase component 2","6","6","1","1","2344","","","","593","593","593","AR465_00127","M48_00774","NRS1_01218","P10_00642","R50_00633","V521_00814"
"rpmJ","","50S ribosomal protein L36","6","6","1","1","1155","","","","113","113","113","AR465_01295","M48_02483","NRS1_00024","P10_02210","R50_02155","V521_02522"
"walR","","Transcriptional regulatory protein WalR","6","6","1","1","2538","","","","701","701","701","AR465_00796","M48_00021","NRS1_00526","P10_02715","R50_02657","V521_00020"
"nfrA","","NADPH-dependent oxidoreductase","6","6","1","1","20","","","","557","806","739","AR465_00447","M48_00420","NRS1_00877","P10_00305","R50_00302","V521_00459"
"group_2180","","hypothetical protein","6","6","1","1","3820","","","","584","584","584","AR465_02007","M48_01584","NRS1_01755","P10_01567","R50_01589","V521_01633"
"group_2181","","hypothetical protein","6","6","1","1","3416","","","","161","161","161","AR465_01693","M48_01906","NRS1_01439","P10_01888","R50_01887","V521_01957"
"group_2182","","hypothetical protein","6","6","1","1","3060","","","","197","197","197","AR465_02501","M48_01150","NRS1_02183","P10_01083","R50_01076","V521_01199"
"yitU","","5-amino-6-(5-phospho-D-ribitylamino)uracil phosphatase YitU","6","6","1","1","3252","","","","824","824","824","AR465_02690","M48_00963","NRS1_02372","P10_00829","R50_00889","V521_01007"
"rplP","","50S ribosomal protein L16","6","6","1","1","1139","","","","434","434","434","AR465_01279","M48_02499","NRS1_00040","P10_02226","R50_02171","V521_02538"
"accD","","Acetyl-coenzyme A carboxylase carboxyl transferase subunit beta","6","6","1","1","3717","","","","857","857","857","AR465_01905","M48_01690","NRS1_01652","P10_01662","R50_01685","V521_01740"
"argR_1","","Arginine repressor","6","6","1","1","3891","","","","452","452","452","AR465_02077","M48_01514","NRS1_01825","P10_01496","R50_01519","V521_01563"
"group_2187","","hypothetical protein","6","6","1","1","2020","","","","644","644","644","AR465_00169","M48_00732","NRS1_01176","P10_00585","R50_00590","V521_00772"
"group_2188","","hypothetical protein","6","6","1","1","1935","","","","1484","1484","1484","AR465_00254","M48_00638","NRS1_01091","P10_00491","R50_00500","V521_00678"
"hlgB","","Gamma-hemolysin component B","6","6","1","1","959","","","","977","977","977","AR465_01105","M48_02675","NRS1_00215","P10_02403","R50_02346","V521_02715"
"group_219","","hypothetical protein","6","6","1","1","17","","","","245","257","253","AR465_00450","M48_00417","NRS1_00874","P10_00302","R50_00299","V521_00456"
"isdE","","High-affinity heme uptake system protein IsdE","6","6","1","1","3090","","","","878","878","878","AR465_02532","M48_01122","NRS1_02214","P10_01054","R50_01047","V521_01169"
"group_2191","","hypothetical protein","6","6","1","1","3031","","","","617","617","617","AR465_02471","M48_01181","NRS1_02153","P10_01113","R50_01106","V521_01230"
